Item_No,Entry_No,Title,Journal,Authors,Abstract,Year,DOI,TheoryName,Subtypes_N,Subtypes_No.,Subtype_Label,Subtype_Description,Subtype_UniLabel,Subtype_Prevalence
ID1283,ID_1283_01,The deficit profile of executive function in chinese children with different types of reading difficulties,Reading and Writing: An Interdisciplinary Journal,"Zou, Z., Zhao, W., & Li, M.","This study investigated executive function deficits among Chinese primary school children with word reading deficit and specific reading comprehension deficit. Working memory, inhibitory control, and cognitive flexibility were examined among children with Word Reading Deficit (WRD), children with Specific Reading Comprehension Deficit (S-RCD) and Typically Developing children (TD). Results showed that compared to the TD group, children with WRD showed deficits in working memory and inhibitory control, whereas children with S-RCD had deficits only in working memory. Further analyses suggested that the difference between WRD group and S-RCD group‚Äôs poor performance on working memory was caused by different types of working memory tasks. The unique feature of the Chinese language may affect the difference between inhibitory control and cognitive flexibility. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1007/s11145-021-10194-x,Unknown,3,S4,Not applicable,Not applicable,Not applicable,Not applicable
ID1300,ID_1300_01,The Interaction of Cognitive Profiles and Text-to-Speech Software on Reading Comprehension of Adolescents with Reading Challenges,Journal of Special Education Technology,"Silvestri, R., Holmes, A., & Rahemtulla, R.","This study utilized the Simple View of Reading (SVR) model cognitive subtypes to determine the impact of text-to-speech (TTS) software on the reading comprehension of 94 grade 8 students with reading difficulties. Method: paired samples t tests for all four SVR groups were conducted to examine reading comprehension scores under TTS and no-TTS conditions. Results: only those participants with a dyslexic profile (listening comprehension greater than decoding skills), demonstrated significant gains in reading comprehension in the TTS compared to the no-TTS condition; a large effect size (1.58 grade level increase) was found. Furthermore, this group's literal comprehension improved much more than their inferential comprehension when utilizing TTS. Implications: a one-size fits all approach for the selection of TTS for struggling readers is not recommended. SVR subtyping incorporated into psychoeducational assessments can inform appropriate assignment of TTS to struggling readers.",2022,10.1177/01626434211033577,Simple View of Reading,4,S4,Typically-developing (TD),At least 1 SD above the norm in both listening comprehension and word decoding,No deficit,47.73%
ID1306,ID_1306_01,The phonological and visual basis of developmental dyslexia in Brazilian Portuguese reading children,Frontiers in Psychology,"Germano, G. D., Reilhac, C., Capellini, S. A., & Valdois, S.","Evidence from opaque languages suggests that visual attention processing abilities in addition to phonological skills may act as cognitive underpinnings of developmental dyslexia.We explored the role of these two cognitive abilities on reading fluency in Brazilian Portuguese, a more transparent orthography than French or English. Sixty-six children with developmental dyslexia and normal Brazilian Portuguese children participated. They were administered three tasks of phonological skills (phoneme identification, phoneme, and syllable blending) and three visual tasks (a letter global report task and two non-verbal tasks of visual closure and visual constancy). Results show that Brazilian Portuguese children with developmental dyslexia are impaired not only in phonological processing but further in visual processing. The phonological and visual processing abilities significantly and independently contribute to reading fluency in the whole population. Last, different cognitively homogeneous subtypes can be identified in the Brazilian Portuguese population of children with developmental dyslexia. Two subsets of children with developmental dyslexiawere identified as having a single cognitive disorder, phonological or visual; another group exhibited a double deficit and a few children showed no visual or phonological disorder. Thus the current findings extend previous data from more opaque orthographies as French and English, in showing the importance of investigating visual processing skills in addition to phonological skills in children with developmental dyslexia whatever their language orthography transparency. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2014,10.3389/fpsyg.2014.01169,Phonological deficit theory; visuo-attention deficit theory,4,S4,No phonological or visual disorder,Above 10th precentile in visual-attention processing and phonological processing,No deficit,12.12%
ID1335,ID_1335_01,Universal and specific predictors of chinese children with dyslexia – exploring the cognitive deficits and subtypes,Frontiers in Psychology,"Song, S., Zhang, Y., Shu, H., Su, M., & McBride, C.","While previous studies have shown that the impact of phonological awareness (PA) and rapid automatized naming (RAN) on dyslexia depends on orthographic complexity in alphabetic languages, it remains unclear whether this relationship generalizes to the more complex orthography of Chinese. We investigated the predictive power of PA, RAN, and morphological awareness (MA) in dyslexia diagnosis status in a sample of 241 typically developing and 223 dyslexic Chinese-speaking children. Compared with the control group, children with dyslexia performed notably worse on character reading and all three cognitive measures. A logistic regression analysis showed that PA and RAN were both significant predictors, while MA also played a relatively important role for predicting dyslexia status in Chinese children. In the next step, we used multigroup analyses to test if these three cognitive predictors were of the same importance in predicting reading variance in different reading proficiency groups. And the results showed that the regression coefficient of MP is stronger for the control group than the dyslexia group, while the regression coefficient of PD tends to be stronger for the dyslexic group. Further cluster analysis identified four subtypes of dyslexia in this sample: a global deficit group, a phonological deficit group, a RAN deficit group, and a mild morphological deficit group. Our findings are largely consistent with previous studies of predictors of dyslexia, while uniquely demonstrating the differences in predictive power of these three cognitive variables on reading, as well as the unique contribution of MA in Chinese reading. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2020,10.3389/fpsyg.2019.02904,Multiple-deficit theory,4,S4,Mild morphological deficit,Mild morphological deficit but intact phoneme awareness and RAN,Mild morphological-production-deficit,31.84%
ID13,ID13_01,Tracking reading skills and reading-related skills in dyslexia before (age 5) and after (ages 10-17) diagnosis,Annals of Dyslexia,"Lefevre, E., Cavalli, E., Cole, P., Law, J. M., & Sprenger-Charolles, L.","This study had three goals: to examine the stability of deficits in the phonological and lexical routes in dyslexia (group study), to determine the prevalence of dyslexia profiles (multiple-case study), and to identify the prediction of phonemic segmentation and discrimination skills before reading acquisition on future reading level. Among a group of 373 non-readers seen at age 5, 38 students were subsequently diagnosed as either consistent dyslexic readers (18 DYS) or consistent typical readers (20 TR). Their phonological and lexical reading skills were assessed at ages 10 and 17 and their phonemic segmentation and discrimination skills at age 5. In comparison with TR of the same chronological age (CA-TR), individuals with dyslexia demonstrated an impairment of the two reading routes, especially of the phonological reading route. In the comparison with younger TR (age 10) of the same reading level (RL-TR), only a deficit of the phonological route is observed. In the multiple-case study, the comparisons with CA-TR showed a prevalence of mixed profiles and very few dissociated profiles, whereas the comparison with RL-TR resulted mostly in two profiles depending on the measure: a phonological profile when accuracy was used and a delayed profile when speed was used. In addition, the correlations between early phonemic segmentation and discrimination skills (age 5) and later reading skills (age 17) were significant, and in the group of individuals with dyslexia, early phonemic segmentation skills significantly predicted these later reading skills. Phonological reading deficits are persistent and mainly caused by early phonemic impairments.Copyright ¬© 2022. The Author(s), under exclusive licence to The International Dyslexia Association.",2023,10.1007/s11881-022-00277-x,Dual-route model/Double-deficit hypothesis,4,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID13,ID13_02,Tracking reading skills and reading-related skills in dyslexia before (age 5) and after (ages 10-17) diagnosis,Annals of Dyslexia,"Lefevre, E., Cavalli, E., Cole, P., Law, J. M., & Sprenger-Charolles, L.","This study had three goals: to examine the stability of deficits in the phonological and lexical routes in dyslexia (group study), to determine the prevalence of dyslexia profiles (multiple-case study), and to identify the prediction of phonemic segmentation and discrimination skills before reading acquisition on future reading level. Among a group of 373 non-readers seen at age 5, 38 students were subsequently diagnosed as either consistent dyslexic readers (18 DYS) or consistent typical readers (20 TR). Their phonological and lexical reading skills were assessed at ages 10 and 17 and their phonemic segmentation and discrimination skills at age 5. In comparison with TR of the same chronological age (CA-TR), individuals with dyslexia demonstrated an impairment of the two reading routes, especially of the phonological reading route. In the comparison with younger TR (age 10) of the same reading level (RL-TR), only a deficit of the phonological route is observed. In the multiple-case study, the comparisons with CA-TR showed a prevalence of mixed profiles and very few dissociated profiles, whereas the comparison with RL-TR resulted mostly in two profiles depending on the measure: a phonological profile when accuracy was used and a delayed profile when speed was used. In addition, the correlations between early phonemic segmentation and discrimination skills (age 5) and later reading skills (age 17) were significant, and in the group of individuals with dyslexia, early phonemic segmentation skills significantly predicted these later reading skills. Phonological reading deficits are persistent and mainly caused by early phonemic impairments.Copyright ¬© 2022. The Author(s), under exclusive licence to The International Dyslexia Association.",2023,10.1007/s11881-022-00277-x,Dual-route model/Double-deficit hypothesis,4,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID13,ID13_03,Tracking reading skills and reading-related skills in dyslexia before (age 5) and after (ages 10-17) diagnosis,Annals of Dyslexia,"Lefevre, E., Cavalli, E., Cole, P., Law, J. M., & Sprenger-Charolles, L.","This study had three goals: to examine the stability of deficits in the phonological and lexical routes in dyslexia (group study), to determine the prevalence of dyslexia profiles (multiple-case study), and to identify the prediction of phonemic segmentation and discrimination skills before reading acquisition on future reading level. Among a group of 373 non-readers seen at age 5, 38 students were subsequently diagnosed as either consistent dyslexic readers (18 DYS) or consistent typical readers (20 TR). Their phonological and lexical reading skills were assessed at ages 10 and 17 and their phonemic segmentation and discrimination skills at age 5. In comparison with TR of the same chronological age (CA-TR), individuals with dyslexia demonstrated an impairment of the two reading routes, especially of the phonological reading route. In the comparison with younger TR (age 10) of the same reading level (RL-TR), only a deficit of the phonological route is observed. In the multiple-case study, the comparisons with CA-TR showed a prevalence of mixed profiles and very few dissociated profiles, whereas the comparison with RL-TR resulted mostly in two profiles depending on the measure: a phonological profile when accuracy was used and a delayed profile when speed was used. In addition, the correlations between early phonemic segmentation and discrimination skills (age 5) and later reading skills (age 17) were significant, and in the group of individuals with dyslexia, early phonemic segmentation skills significantly predicted these later reading skills. Phonological reading deficits are persistent and mainly caused by early phonemic impairments.Copyright ¬© 2022. The Author(s), under exclusive licence to The International Dyslexia Association.",2023,10.1007/s11881-022-00277-x,Dual-route model/Double-deficit hypothesis,4,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID20,ID20_01,The summary writing performance of bilingual learners with reading difficulties,Annals of Dyslexia,"Li, M., Chan, J., & Kirby, J. R.","Writing is an important tactic for learning from text and the summaries provide information on students' comprehension and learning processes. We investigated the nature of the summaries produced by bilingual adolescents, and whether their summaries were related to their reading abilities in their first and second languages. In each language, we examined the performance of students identified as typically developing, poor decoders, or poor comprehenders. Participants were 246 grade 8 students enrolled in English immersion programs in China. Measures included English word reading and reading comprehension, Chinese word reading and reading comprehension, and nonverbal ability. Students' text-absent summaries of an English 254-word expository passage were analyzed for the number of themes, main ideas, important details, and unimportant details. Using latent profile analysis, participants were identified as typical readers (TR, n=123), poor decoders (PD, n=74), or poor comprehenders (PC, n=49) in English, and TR (n=129), PD (n=74), or PC (n=43) in Chinese, based on word reading and reading comprehension in both English and Chinese. MANCOVA results showed that after controlling for nonverbal ability, in the English-defined groups, the TR group outperformed PD and PC on themes, main ideas, and important details; in the Chinese-defined groups, the TR group outperformed PD and PC on themes, TR performed better than PC on main ideas and important details, and PD outperformed PC on main ideas. Discussion focuses on the difficulties faced by bilingual students with reading difficulties and on the potential of summary writing instruction to improve their comprehension and learning processes.Copyright ¬© 2022. Crown.",2023,10.1007/s11881-022-00258-0,"Construction-integration model (Kintsch, 1998)",3,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID23,ID23_01,Stroop performance is related to reading profiles in Hebrew‚Äêspeaking individuals with dyslexia and typical readers,Dyslexia: An International Journal of Research and Practice,"Abo-elhija, D., Farah, R., & Horowitz-Kraus, T.","There is a debate in the literature regarding the level of contribution of executive functions (EF) to reading comprehension (RC), in the context of the simple view of reading (SVR) model. The current study aims to create sub‚Äêprofiles of reading and cognitive abilities based on a measure traditionally used for evaluating EF, that is, the Stroop task, and specifically, Stroop time. Ninety‚Äêseven adults with and without reading difficulties performed reading and cognitive tasks, including the Stroop tests. Four groups were created based on Stroop performance time and a reading profile was created for each group. A mediation analysis was conducted to determine if reading accuracy and linguistic abilities predict RC mediated by Stroop time. Participants with a shorter Stroop time demonstrated better reading abilities, whereas those with longer Stroop time showed decreased reading performance. Stroop time was also negatively associated with better performance in additional cognitive abilities. A mediation analysis suggested that decoding ability and linguistic ability predict RC through EF. Our findings support the SVR model and the involvement of EF in reading proficiency and might be used for designing EF‚Äêbased interventions for reading and RC difficulties. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1002/dys.1708,Unknown,4,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID28,ID28_01,Is executive dysfunction a potential contributor to the comorbidity between basic reading disability and attention-deficit/hyperactivity disorder?,Child Neuropsychology: A Journal on Normal and Abnormal Development in Childhood and Adolescence,"Kibby, M. Y., Newsham, G., & Imre, Z., & Schlak, J. E.","Our study is one of the few to analyze executive functioning (EF) in a comprehensive, multi-modal fashion as a potential contributor to the comorbidity between attention-deficit/hyperactivity disorder (ADHD) and basic reading disability (RD). We included multiple, traditional, neuropsychological measures of EF, along with the Behavior Rating Inventory of Executive Function (BRIEF) questionnaire, to assess inhibit, shift, working memory (WM), planning, generation fluency, and problem-solving. Participants included 263 children, ages 8-12 years, with RD, ADHD, RD/ADHD, and typically developing controls. When using the traditional measures in a 2 x 2 MANCOVA, we found both RD and ADHD had poor cognitive EF in most areas at the group level, with phonological loop deficits being more specific to RD and behavioral regulation deficits being more specific to ADHD. Children with RD/ADHD performed comparably to those with RD and ADHD alone. Results were similar on the BRIEF. In contrast, only WM predicted both basic reading and inattention when the data were assessed in a continuous fashion. It also explained the correlations between basic reading and inattention, being worthy of longitudinal research to determine if it is a shared contributor to RD/ADHD. When comparing hypotheses as to the nature of RD/ADHD, we found the multiple deficit hypothesis was better supported by our EF data than the phenocopy hypothesis or the cognitive subtype hypothesis.",2021,10.1080/09297049.2021.1908532,Multiple-deficit theory,3,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID32,ID32_01,Diagnostic implications of the double deficit model for young adolescents with dyslexia,Dyslexia: An International Journal of Research and Practice,"Harrison, A. G., & Stewart, M.","Considerable support exists for both the phonological core deficit and the naming speed deficit models of dyslexia. The double deficit model proposed that many students with dyslexia might also be impaired in both underlying processes. Employing either performance thresholds (i.e., scores below the 16th or 25th percentile) or k‚Äêmeans clustering as classification methods, the current study investigated whether 154 young adolescents with dyslexia could be categorized into subtypes according to the presence or absence of phonological deficits alone, naming speed deficits alone, or a combination of the two and whether group composition changed depending on classification method. Results support the existence of both single and double deficit groups and confirm that those with both deficits are the most severely impaired across multiple measures. Contrary to previous research, most adolescents were classified as either naming speed only (about a third of the group) or double deficit when defining impairment using performance thresholds to classify groups. This may suggest that although early phonological deficits are amenable to remediation, identification of language symbols fails to become automatized in most individuals with dyslexia and may require more targeted intervention. Classification differences reported in the literature may depend on age and methods employed for classification. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2019,10.1002/dys.1638,Dual-route model/Double-deficit hypothesis,4,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID32,ID32_02,Diagnostic implications of the double deficit model for young adolescents with dyslexia,Dyslexia: An International Journal of Research and Practice,"Harrison, A. G., & Stewart, M.","Considerable support exists for both the phonological core deficit and the naming speed deficit models of dyslexia. The double deficit model proposed that many students with dyslexia might also be impaired in both underlying processes. Employing either performance thresholds (i.e., scores below the 16th or 25th percentile) or k‚Äêmeans clustering as classification methods, the current study investigated whether 154 young adolescents with dyslexia could be categorized into subtypes according to the presence or absence of phonological deficits alone, naming speed deficits alone, or a combination of the two and whether group composition changed depending on classification method. Results support the existence of both single and double deficit groups and confirm that those with both deficits are the most severely impaired across multiple measures. Contrary to previous research, most adolescents were classified as either naming speed only (about a third of the group) or double deficit when defining impairment using performance thresholds to classify groups. This may suggest that although early phonological deficits are amenable to remediation, identification of language symbols fails to become automatized in most individuals with dyslexia and may require more targeted intervention. Classification differences reported in the literature may depend on age and methods employed for classification. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2019,10.1002/dys.1638,Dual-route model/Double-deficit hypothesis,4,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID59,ID59_01,The identification and classification of struggling readers based on the simple view of reading,Dyslexia: An International Journal of Research and Practice,"Sleeman, M., Everatt, J., Arrow, A., & Denston, A.","The simple view of reading (SVR) predicts that reading difficulties can result from decoding difficulties, language comprehension difficulties, or a combination of these difficulties. However, classification studies have identified a fourth group of children whose reading difficulties are unexplained by the model. This may be due to the type of classification model used. The current research included 209 children in Grades 3‚Äì5 (8‚Äì10 years of age) from New Zealand. Children were classified using the traditional approach and a cluster analysis. In contrast to the traditional classification model, the cluster analysis approach eliminated the unexplained reading difficulties group, suggesting that poor readers can be accurately assigned to one of three groups, which are consistent with those predicted by the SVR. The second set of analyses compared the three poor reader groups across 14 measures of reading comprehension, decoding, language comprehension, phonological awareness, and rapid naming. All three groups demonstrated reading comprehension difficulties, but the dyslexia group showed particular weaknesses in word processing and phonological areas, the SCD group showed problems deriving meaning from oral language, and the mixed group showed general deficits in most measures. The findings suggest that the SVR does have the potential to determine reading profiles and differential intervention methods. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1002/dys.1719,Simple view of reading,4,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID59,ID59_02,The identification and classification of struggling readers based on the simple view of reading,Dyslexia: An International Journal of Research and Practice,"Sleeman, M., Everatt, J., Arrow, A., & Denston, A.","The simple view of reading (SVR) predicts that reading difficulties can result from decoding difficulties, language comprehension difficulties, or a combination of these difficulties. However, classification studies have identified a fourth group of children whose reading difficulties are unexplained by the model. This may be due to the type of classification model used. The current research included 209 children in Grades 3‚Äì5 (8‚Äì10 years of age) from New Zealand. Children were classified using the traditional approach and a cluster analysis. In contrast to the traditional classification model, the cluster analysis approach eliminated the unexplained reading difficulties group, suggesting that poor readers can be accurately assigned to one of three groups, which are consistent with those predicted by the SVR. The second set of analyses compared the three poor reader groups across 14 measures of reading comprehension, decoding, language comprehension, phonological awareness, and rapid naming. All three groups demonstrated reading comprehension difficulties, but the dyslexia group showed particular weaknesses in word processing and phonological areas, the SCD group showed problems deriving meaning from oral language, and the mixed group showed general deficits in most measures. The findings suggest that the SVR does have the potential to determine reading profiles and differential intervention methods. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1002/dys.1719,Simple view of reading,3,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID59,ID59_03,The identification and classification of struggling readers based on the simple view of reading,Dyslexia: An International Journal of Research and Practice,"Sleeman, M., Everatt, J., Arrow, A., & Denston, A.","The simple view of reading (SVR) predicts that reading difficulties can result from decoding difficulties, language comprehension difficulties, or a combination of these difficulties. However, classification studies have identified a fourth group of children whose reading difficulties are unexplained by the model. This may be due to the type of classification model used. The current research included 209 children in Grades 3‚Äì5 (8‚Äì10 years of age) from New Zealand. Children were classified using the traditional approach and a cluster analysis. In contrast to the traditional classification model, the cluster analysis approach eliminated the unexplained reading difficulties group, suggesting that poor readers can be accurately assigned to one of three groups, which are consistent with those predicted by the SVR. The second set of analyses compared the three poor reader groups across 14 measures of reading comprehension, decoding, language comprehension, phonological awareness, and rapid naming. All three groups demonstrated reading comprehension difficulties, but the dyslexia group showed particular weaknesses in word processing and phonological areas, the SCD group showed problems deriving meaning from oral language, and the mixed group showed general deficits in most measures. The findings suggest that the SVR does have the potential to determine reading profiles and differential intervention methods. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1002/dys.1719,Simple view of reading,4,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID75,ID75_01,Understanding the nature and severity of reading difficulties among students with language and reading comprehension difficulties,Annals of Dyslexia,"Capin, P., Gillam, S. L., Fall, A.-M., Roberts, G., Dille, J. T., & Gillam, R. B.","This study investigated the presence of word reading difficulties in a sample of students in Grades 1‚Äì4 (n = 357) identified with language and reading comprehension difficulties. This study also examined whether distinct word reading and listening comprehension profiles emerged within this sample and the extent to which these groups varied in performance on cognitive and demographic variables. Findings showed that the majority of students (51%) with language and reading comprehension difficulties demonstrated significant risk in word reading (more than 1 SD below the mean), even though the participant screening procedures did not examine word reading directly. Three latent profiles emerged when students were classified into subgroups based on their performance in listening comprehension (LC) and word reading (WR): (1) severe difficulties in LC and moderate difficulties in WR (11%), (2) mild difficulties in both LC and WR (50%), and (3) moderate difficulties in LC and mild difficulties in WR (39%). Of note, even though students were identified for participation on the basis of poor oral language and reading comprehension abilities, all profiles demonstrated some degree of word reading difficulties. Findings revealed there were differences in age and performance on measures of working memory, nonverbal reasoning, and reading comprehension performance between profiles. Implications for educators providing instruction to students with or at risk for dyslexia and developmental language disorders were discussed. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1007/s11881-022-00255-3,Simple view of reading,3,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID125,ID_125_01,Profiling the word reading abilities of school-age children with neurofibromatosis type 1,Journal of the International Neuropsychological Society,"Arnold, S. S., Payne, J. M., McArthur, G., North, K. N., & Barton, B.","Objective: Reading difficulties are one of the most significant challenges for children with neurofibromatosis type 1 (NF1). The aims of this study were to identify and categorize the types of reading impairments experienced by children with NF1 and to establish predictors of poor reading in this population. Method: Children aged 7‚Äì12 years with NF1 (n = 60) were compared with typically developing children (n = 36). Poor word readers with NF1 were classified according to impairment type (i.e., phonological, surface, mixed), and their reading subskills were compared. A hierarchical multiple regression was conducted to identify predictors of word reading. Results: Compared to controls, children with NF1 demonstrated significantly poorer literacy abilities. Of the 49 children with NF1 classified as poor readers, 20 (41%) were classified with phonological dyslexia, 24 (49%) with mixed dyslexia, and 5 (10%) fell outside classification categories. Children with mixed dyslexia displayed the most severe reading impairments. Stronger working memory, better receptive language, and fewer inattentive behaviors predicted better word reading skills. Conclusions: The majority of children with NF1 experience deficits in key reading skills which are essential for them to become successful readers. Weaknesses in working memory, receptive language, and attention are associated with reading difficulties in children with NF1. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",2021,10.1017/S135561772000106X,Dual-route model/Double-deficit hypothesis,4,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID126,ID_126_01,"Sequential and spatial letter reversals in adults with dyslexia during a word comparison task: demystifying the ""was saw"" and ""db"" myths",Clinical Linguistics & Phonetics,"Peter, B., Albert, A., Panagiotides, H., & Gray, S.","Whether sequential and spatial letter reversals characterize dyslexia in children has been unclear, largely due to developmental variability of these errors in children with and without dyslexia. Here we demonstrate both types of reversals for the first time in adults with dyslexia (n = 22) but not in control adults (n = 20). Participants evaluated 576 word pairs that consisted of two identical words or two words that differed subtly, by categorizing them as same or different. Two subsets of word pairs differed in sequential (e.g. ""two tow"") and spatial (e.g. ""cob cod"") letter reversals. The adults with dyslexia were less accurate than the controls regarding both types of word pairs. Their accuracy during left/right letter reversals was lower, compared to both up/down letter reversals (e.g. ""cub cup"") and nonsymmetric letter similarities (e.g. ""half halt""). Accuracy during left/right reversals was correlated with accuracy during sequential rearrangement in the word pair task as well as with a composite measure of sequential processing based on nonword repetition, nonword reading, and multisyllabic word repetition. It was also correlated with a composite measure of literacy skills. A subset of the dyslexia group who produced left/right errors during a rapid single letter naming task obtained lower accuracy than the dyslexia subgroup without such errors during both types of letter reversals, and their overall literacy skills were lower. We conclude that sequential and left/right letter reversals characterize a severe dyslexia subtype. These two types of reversal are associated, are part of a general deficit in sequential processing likely due to cerebellar deficits, and persist into adulthood.",2021,10.1080/02699206.2019.1705916,Sequential processing deficit theory,2,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID127,ID_127_01,Spelling errors reveal underlying sequential and spatial processing deficits in adults with dyslexia,Clinical Linguistics & Phonetics,"Peter, B., Albert, A., & Gray, S.","ABSTRACT Recent studies showed that some adults with dyslexia have difficulty processing sequentially arranged information. In a companion study, this deficit manifested as low accuracy during a word pair comparison task involving same/different decisions when two words differed in their letter sequences. This sequential deficit was associated with left/right spatial letter confusion. In the present study, we found the same underlying difficulty with sequential and spatial letter processing during word spelling. Participants were the same 22 adults with dyslexia and 20 age- and gender-matched controls as in the companion study. In the spelling task, sequential error rates were higher in the dyslexia group, compared to the controls. Measures of accuracy of serial letter order during the spelling task and the word comparison task were correlated. Only three participants, each with dyslexia, produced left/right letter reversals during spelling. These were the same participants who produced left/right errors when naming single letters. They also had profound difficulty with sequential and left/right letter processing in the spelling and word comparison tasks, and they had the most severe spelling impairment. We conclude that this pervasive, persistent difficulty with sequential and spatial reversals contributes to a severe dyslexia subtype. In the dyslexia group as a whole, additional and separate sources of errors were underspecified word representations in long-term memory and homophone errors that likely represent language-based deficits in word knowledge. In the participants, these three factors (sequential/spatial letter confusion, underspecified word form representation, language-based deficits) occurred either as single factors or in combination with each other. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2021,10.1080/02699206.2020.1780322,Sequential processing deficit theory,2,S5,Not applicable,Not applicable,Not applicable,Not applicable
ID131,ID_131_01,Varieties of cognitive profiles in poor readers: Evidence for a VAS-impaired subtype,Journal of Learning Disabilities,"Valdois, S., Reilhac, C., Ginestet, E., & Bosse, M. L.","A wide share of secondary school children does not reach the expected competence level in reading. These children could benefit from more efficient intervention responses, providing a better understanding of their cognitive weaknesses/deficits. Our aim was to explore the cognitive heterogeneity of a population of poor readers identified from a large sample of 948 sixth-grade children. We first assessed the contribution of phoneme awareness (PA), rapid automatized naming (RAN), and visual attention span (VAS) to reading performance in a subset of 281 children including poor and average readers/spellers. We show that all three skills are unique and significant predictors of reading fluency. We then restricted the analysis to participants with normal Raven‚Äôs score (IQ) and oral language skills to focus on 110 children with more specific reading difficulties. A unique VAS deficit was found in 18% of these poor readers while 20% and 15.5% showed a unique PA or RAN deficit. Children with multiple or no deficit were further identified. The overall findings provide evidence for a variety of cognitive profiles in poor readers. They suggest that, in addition to PA interventions, training programs targeting VAS might be useful for the nontrivial share of poor readers who exhibit a VAS deficit. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2021,10.1177/0022219420961332,Unknown,8,S5,PA and RAN deficit,Fell below the 10th percentile of the normal reader group factorial coefficient in phoneme awareness and RAN,Double-deficit,7.30%
ID135,ID_135_01,Flicker fusion thresholds as a clinical identifier of a magnocellular-deficit dyslexic subgroup,Scientific Reports,"Peters, J. L., Bavin, E. L., Brown, A., Crewther, D. P., & Crewther, S. G.","The magnocellular-dorsal system is well isolated by high temporal frequency. However, temporal processing thresholds have seldom been explored in developmental dyslexia nor its subtypes. Hence, performances on two, four-alternative forced-choice achromatic flicker fusion threshold tasks modulated at low (5%) and high (75%) temporal contrast were compared in dyslexic and neurotypical children individually matched for age and intelligence (8-12 years, n=54 per group). As expected, the higher modulation resulted in higher flicker fusion thresholds in both groups. Compared to neurotypicals, the dyslexic group displayed significantly lower ability to detect flicker at high temporal frequencies, both at low and high temporal contrast. Yet, discriminant analysis did not adequately distinguish the dyslexics from neurotypicals, on the basis of flicker thresholds alone. Rather, two distinct dyslexic subgroups were identified by cluster analysis - one characterised by significantly lower temporal frequency thresholds than neurotypicals (referred to as 'Magnocellular-Deficit' dyslexics; 53.7%), while the other group ('Magnocellular-Typical' dyslexics; 46.3%) had comparable thresholds to neurotypicals. The two dyslexic subgroups were not differentially associated with phonological or naming speed subtypes and showed comparable mean reading rate impairments. However, correlations between low modulation flicker fusion threshold and reading rate for the two subgroups were significantly different (p=.0009). Flicker fusion threshold performances also showed strong classification accuracy (79.3%) in dissociating the Magnocellular-Deficit dyslexics and neurotypicals. We propose that temporal visual processing impairments characterize a previously unidentified subgroup of dyslexia and suggest that measurement of flicker fusion thresholds could be used clinically to assist early diagnosis and appropriate treatment recommendations for dyslexia.",2020,10.1038/s41598-020-78552-3,Temporal processing deficit theory,2,S5,Not applicable,Not applicable,Not applicable,Not applicable
